timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773153855942,180,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1208,228,1,1,https://api.weatherbit.io/v2.0/current?city=Singapore&country=SG&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
1773153856944,184,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1212,230,1,1,https://api.weatherbit.io/v2.0/current?city=Los+Angeles&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,184,0,0
1773153857943,184,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1198,225,1,1,https://api.weatherbit.io/v2.0/current?city=Sydney&country=AU&key=628bd42a721c4a57b7ffaade43851fae&units=M,184,0,0
1773153858946,185,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1215,225,1,1,https://api.weatherbit.io/v2.0/current?city=London&country=GB&key=628bd42a721c4a57b7ffaade43851fae&units=M,185,0,0
1773153859942,183,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1217,227,1,1,https://api.weatherbit.io/v2.0/current?city=New+York&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,182,0,0
1773153860942,184,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1185,224,1,1,https://api.weatherbit.io/v2.0/current?city=Tokyo&country=JP&key=628bd42a721c4a57b7ffaade43851fae&units=M,184,0,0
1773153861946,184,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1209,224,1,1,https://api.weatherbit.io/v2.0/current?city=Paris&country=FR&key=628bd42a721c4a57b7ffaade43851fae&units=M,184,0,0
1773153862946,183,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1198,224,1,1,https://api.weatherbit.io/v2.0/current?city=Dubai&country=AE&key=628bd42a721c4a57b7ffaade43851fae&units=M,183,0,0
1773153863945,184,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1196,228,1,1,https://api.weatherbit.io/v2.0/current?city=Singapore&country=SG&key=628bd42a721c4a57b7ffaade43851fae&units=M,184,0,0
1773153864945,180,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1208,230,1,1,https://api.weatherbit.io/v2.0/current?city=Los+Angeles&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,180,0,0
1773153865946,183,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1198,225,1,1,https://api.weatherbit.io/v2.0/current?city=Sydney&country=AU&key=628bd42a721c4a57b7ffaade43851fae&units=M,183,0,0
1773153866941,183,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1219,225,1,1,https://api.weatherbit.io/v2.0/current?city=London&country=GB&key=628bd42a721c4a57b7ffaade43851fae&units=M,183,0,0
1773153867945,186,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1217,227,1,1,https://api.weatherbit.io/v2.0/current?city=New+York&country=US&key=628bd42a721c4a57b7ffaade43851fae&units=M,186,0,0
1773153868945,181,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1181,224,1,1,https://api.weatherbit.io/v2.0/current?city=Tokyo&country=JP&key=628bd42a721c4a57b7ffaade43851fae&units=M,181,0,0
1773153869946,183,HTTP Request,200,OK,Ramp-up Load 1-1,text,true,,1209,224,1,1,https://api.weatherbit.io/v2.0/current?city=Paris&country=FR&key=628bd42a721c4a57b7ffaade43851fae&units=M,183,0,0
